,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
2944,/organization/csr,CSR,|Semiconductors|All Markets|Wireless|Consumer Electronics|Hardware + Software|,Consumer Electronics,USA,CA,SF Bay Area,San Jose,/organization/qualcomm,Qualcomm,|Semiconductors|,Semiconductors,USA,CA,San Diego,San Diego,2014-10-14,2014-10,2014-Q4,2014.0,2500000000,USD
2952,/organization/cubetree,CubeTree,|Web Tools|Networking|Collaboration|Enterprise Software|,Web Tools,USA,CA,SF Bay Area,Redwood City,/organization/successfactors,SuccessFactors,|SaaS|Career Management|Enterprises|Enterprise Software|,Enterprises,USA,CA,SF Bay Area,South San Francisco,2010-05-03,2010-05,2010-Q2,2010.0,50000000,USD
2953,/organization/cubics,Cubics,|Curated Web|,Curated Web,USA,MO,Kansas City,Kansas City,/organization/adknowledge,Adknowledge,|Twitter Applications|Facebook Applications|Content Discovery|Mobile Games|Mobile|Video|Apps|Social Media|Sales and Marketing|Advertising|,Mobile Games,USA,MO,Kansas City,Kansas City,2007-12-06,2007-12,2007-Q4,2007.0,11000000,USD
2955,/organization/cue,Cue,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/apple,Apple,|Computers|Consumer Electronics|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Cupertino,2013-10-04,2013-10,2013-Q4,2013.0,50000000,USD
2963,/organization/curbed,Curbed Network,|Advertising|,Advertising,USA,NY,New York City,New York,/organization/vox-media,Vox Media,|Sports|Blogging Platforms|News|,Sports,USA,DC,"Washington, D.C.",Washington,2013-11-10,2013-11,2013-Q4,2013.0,30000000,USD
2987,/organization/cybercoders,CyberCoders,|Search|Recruiting|Technology|,Search,USA,CA,Anaheim,Irvine,/organization/on-assignment,On Assignment,|Consulting|,Consulting,USA,CA,Los Angeles,Calabasas,2013-12-03,2013-12,2013-Q4,2013.0,105000000,USD
2992,/organization/cybersource,Cybersource,|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,/organization/visa,Visa,|Business Services|,Business Services,USA,CA,SF Bay Area,San Francisco,2010-04-21,2010-04,2010-Q2,2010.0,2000000000,USD
2999,/organization/cyence-international,Cyence International,|Software|,Software,USA,AL,Birmingham,Birmingham,/organization/filogix-limited-partnership,Filogix Limited Partnership,|Software|,Software,CAN,ON,Toronto,Toronto,2008-12-11,2008-12,2008-Q4,2008.0,31080000,USD
3009,/organization/cypress-semiconductor,Cypress Semiconductor,|Semiconductors|,Semiconductors,USA,CA,SF Bay Area,San Jose,/organization/on-semiconductor,ON Semiconductor,|Semiconductors|,Semiconductors,USA,AZ,Phoenix,Phoenix,2011-01-31,2011-01,2011-Q1,2011.0,31400000,USD
3015,/organization/cytiva-software,Cytiva Software,|Services|Recruiting|Information Technology|Software|,Software,USA,CA,SF Bay Area,Emeryville,/organization/taleo,Taleo,|Video on Demand|Recruiting|Career Management|Software|,Software,USA,CA,SF Bay Area,Dublin,2011-02-01,2011-02,2011-Q1,2011.0,11000000,USD
3017,/organization/cytopeia,Cytopeia,|Biotechnology|,Biotechnology,USA,WA,Seattle,Seattle,/organization/becton-dickinson,Becton Dickinson,|Biotechnology|,Biotechnology,USA,NJ,Newark,Franklin Lakes,2008-05-12,2008-05,2008-Q2,2008.0,43050000,USD
3019,/organization/cytosport,CytoSport,|Consumer Goods|Nutrition|Sporting Goods|,Consumer Goods,USA,CA,SF Bay Area,Benicia,/organization/hormel-foods,Hormel Foods,|Manufacturing|Food Processing|Consumer Goods|,Food Processing,USA,MN,"Rochester, Minnesota",Austin,2014-07-01,2014-07,2014-Q3,2014.0,450000000,USD
3020,/organization/cytyc,Cytyc,|Biotechnology|,Biotechnology,USA,MA,Boston,Marlborough,/organization/hologic,Hologic,|Biotechnology|,Biotechnology,USA,MA,Boston,Bedford,2007-10-22,2007-10,2007-Q4,2007.0,6200000000,USD
