,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,raised_amount_usd
154,/organization/gemin-x-pharmaceuticals,Gemin X Pharmaceuticals,|Biotechnology|,Biotechnology,CAN,QC,Montreal,Montréal,/organization/cephalon,Cephalon,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Malvern,3/21/11,2011-03,2011-Q1,2011,525000000,USD,62000000
186,/organization/idev-technologies,IDEV Technologies,|Biotechnology|,Biotechnology,USA,TX,Houston,Webster,/organization/abbott,Abbott Labs,|Health and Wellness|Venture Capital|Medical|Biotechnology|,Health and Wellness,USA,IL,Chicago,Des Plaines,7/15/13,2013-07,2013-Q3,2013,310000000,USD,46000000
191,/organization/innopharma,InnoPharma,|Biotechnology|,Biotechnology,USA,NJ,Newark,Piscataway,/organization/pfizer,Pfizer,|Biotechnology|,Biotechnology,USA,NY,New York City,New York,7/16/14,2014-07,2014-Q3,2014,225000000,USD,15000000
200,/organization/ipierian,iPierian,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,South San Francisco,/organization/bristol-myers-squibb,Bristol-Myers Squibb,|Health and Wellness|Pharmaceuticals|Biotechnology|,Pharmaceuticals,USA,NY,New York City,New York,4/29/14,2014-04,2014-Q2,2014,725000000,USD,58970000
213,/organization/kai-pharmaceuticals,KAI Pharmaceuticals,|Medical|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,South San Francisco,/organization/amgen,Amgen,|Biotechnology|,Biotechnology,USA,CA,Los Angeles,Thousand Oaks,4/10/12,2012-04,2012-Q2,2012,315000000,USD,35000000
240,/organization/ls9,LS9,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,South San Francisco,/organization/renewable-energy-group,Renewable Energy Group,|Chemicals|Clean Technology|,Chemicals,USA,IA,Des Moines,Ames,1/23/14,2014-01,2014-Q1,2014,61500000,USD,75000000
280,/organization/neuronex,Neuronex,|Biotechnology|,Biotechnology,USA,NC,Raleigh,Morrisville,/organization/acorda-therapeutics,Acorda Therapeutics,|Health Care|Biotechnology|,Health Care,USA,NY,New York City,Hawthorne,2/17/12,2012-02,2012-Q1,2012,130000000,USD,1500000
299,/organization/optimedica,OptiMedica,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Santa Clara,/organization/abbott,Abbott Labs,|Health and Wellness|Venture Capital|Medical|Biotechnology|,Health and Wellness,USA,IL,Chicago,Des Plaines,7/15/13,2013-07,2013-Q3,2013,400000000,USD,51000000
333,/organization/protiva-biotherapeutics,Protiva Biotherapeutics,|Biotechnology|,Biotechnology,USA,WA,Seattle,Seattle,/organization/tekmira-pharmaceuticals,Tekmira Pharmaceuticals,|Biotechnology|,Biotechnology,CAN,BC,Burnaby,Burnaby,3/28/08,2008-03,2008-Q1,2008,32450000,USD,8260000
339,/organization/quantalife,QuantaLife,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Pleasanton,/organization/bio-rad-laboratories,Bio-Rad Laboratories,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Hercules,10/5/11,2011-10,2011-Q4,2011,162000000,USD,17200000
351,/organization/rempex-pharmaceuticals,Rempex Pharmaceuticals,|Biotechnology|,Biotechnology,USA,CA,San Diego,San Diego,/organization/the-medicines-company,The Medicines Company,|Biotechnology|,Biotechnology,USA,NJ,Newark,Parsippany,12/4/13,2013-12,2013-Q4,2013,464000000,USD,67500000
370,/organization/semprus-biosciences,Semprus BioSciences,|Biotechnology|,Biotechnology,USA,MA,Boston,Cambridge,/organization/teleflex,Teleflex,|Medical Devices|,Medical Devices,USA,PA,Philadelphia,Royersford,6/25/12,2012-06,2012-Q2,2012,30000000,USD,26000000
